UPC,PRODUCT_GROUP,PRODUCT_NAME,SKU,Fabric,Gender,Category,Style,Design,Color,Size,TYPE_NAME_DETAIL_EN,TYPE_NAME_GROUP,Price
1002706198035,Concept,Frame,CCO-EDE-UNI-SOU-FRA-FRA-MIX-0,EDE,UNI,SOU,FRA,FRA,MIX,0,0,Other,310000
1003881136072,Apparel,Flying Stock,GPR-GSL-WOM-TTS-ONE-FST-ORA-L,GSL,WOM,TTS,ONE,FST,ORA,L,Tank Top Sleeveless,Tank Top,750000
1008462507470,Apparel,Flying Fish,GPR-GCV-MEN-SIS-BUT-FLH-WHI-L,GCV,MEN,SIS,BUT,FLH,WHI,L,Shirt Short Sleeves ,Shirt,1790000
1018774360946,Concept,Constable,CCO-DSP-UNI-BAG-HDB-CON-RGN-0,DSP,UNI,BAG,HDB,CON,RGN,0,0,Other,12250000
1028616235707,Concept,Bardot,CCO-DSP-UNI-BAG-CLU-BAR-RED-0,DSP,UNI,BAG,CLU,BAR,RED,0,0,Other,3300000
1029532505400,Concept,Bardot,CCO-DSP-UNI-BAG-CLU-BAR-PUR-0,DSP,UNI,BAG,CLU,BAR,PUR,0,0,Other,3300000
1036704952177,Apparel,Saigon Traffic,GPR-GBA-MEN-TSS-ONE-STC-WHI-XXL,GBA,MEN,TSS,ONE,STC,WHI,XXL,T-Shirt Short Sleeves,T-Shirt,710000
1037951943130,Art,CA PARADISE ZOOM LEFT,CCO-PAS-UNI-ART-ART-CP1-MIX-A3,PAS,UNI,ART,ART,CP1,MIX,A3,0,Other,5000000
1040317153234,Apparel,Star map,GPR-GOR-MEN-TSS-ONE-SMP-BLK-M,GOR,MEN,TSS,ONE,SMP,BLK,M,T-Shirt Short Sleeves,T-Shirt,790000
1044940745071,Accessories,Headband,GPR-OTH-UNI-HWR-HEA-MIX-MIX-0,OTH,UNI,HWR,HEA,MIX,MIX,0,0,Other,105000
1053187208201,Apparel,Urban,GPR-GOR-MEN-TSS-ONE-URB-JBG-L,GOR,MEN,TSS,ONE,URB,JBG,L,T-Shirt Short Sleeves,T-Shirt,790000
1061114435798,Concept,Khăn 2M Truyen Kieu 70x70,CCO-LAN-UNI-HWR-SC2-TKU-PIN-70x70,LAN,UNI,HWR,SC2,TKU,PIN,70x70,0,Other,749000
1067914257486,Apparel,Autumn Lion,GPR-GSL-KID-TSS-ONE-AUL-WHI-10,GSL,KID,TSS,ONE,AUL,WHI,10,T-Shirt Short Sleeves,T-Shirt,650000
1068272385279,Apparel,Shuttlecock,GPR-GSP-MEN-POL-MAN-SHU-NAV-S,GSP,MEN,POL,MAN,SHU,NAV,S,Polo Short sleeves,Polo,1090000
1075263734800,Concept,Damascus M390 Santoku 18cm,CPU-VNE-UNI-SOU-DAS-SAN-SGR-18CM,VNE,UNI,SOU,DAS,SAN,SGR,18CM,0,Other,12500000
1078842893035,Apparel,Vietnam Telecom,GPR-GOR-MEN-TSS-ONE-VTM-GRE-XXL,GOR,MEN,TSS,ONE,VTM,GRE,XXL,T-Shirt Short Sleeves,T-Shirt,790000
1087844862079,Art,FRAME,CCO-PAS-UNI-ART-ART-FRA-MIX-AG,PAS,UNI,ART,ART,FRA,MIX,AG,0,Other,1000000
